2026년 연간 지역축제 개최 계획,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
연번,광역자치단체명,기초자치단체명,축제명,축제 유형,개최 장소,,,,,개최기간,,,,,,,,개최 주기,"최초
개최연도",예산(백만원),,,,"국비지원
부처명",방문객수(前년),,,,,축제 주최 전담조직,,,담당자,,,,,비고
,,,,,장소명,축제 유형,,,,시작일,,,종료일,,,"총
일수",비고,,,합계,국비,지방비,"기타
(민간 등)",,전체,내국인(명),외국인(명),계측 방법,비고,전담조직명,조직형태,설립근거,소속,부서명,직급/직책,성명,연락처,비고
,,,,,장소명,축제 유형,시도,시군구,읍면동,년,월,일,년,월,일,,,,,,,,,,,,,,,,,,,,,,,
24,01. 서울,서대문구,제17회 2026 서대문 독립축제,04. 전통역사,"서대문형무소역사관, 독립공원",02. 녹지형,01. 서울,서대문구,천연동,2026,8,14,2026,8,16,3,,01. 매년,2010,204,0,204,0,해당없음,"151,660","151,660",모름,02. 추정,통신 데이터,서대문구청,01. 정부/지자체,,서대문구청,문화체육과,주무관,이보라,02-330-1576,
25,01. 서울,서대문구,2026 신촌글로벌대학문화축제,01. 문화예술,신촌 일대,05. 기타,01. 서울,서대문구,신촌동,2026,9,11,2026,9,13,3,,01. 매년,2023,288,0,288,0,해당없음,"493,649","493,649",모름,02. 추정,통신 데이터,서대문구청,01. 정부/지자체,,서대문구청,문화체육과,주무관,최재영,02-330-6714,
26,01. 서울,관악구,관악 책빵 축제,03. 주민화합,별빛내린천 일대,03. 수변형,01. 서울,관악구,신림동,2026,5,9,2026,5,10,2,,01. 매년,2023,70,0,70,0,해당없음,"69,112","69,112",모름,99. 무응답,기타,관악문화재단,02. 재단(관광/문화/예술),관악문화재단 설립에 관한 조례,관악문화재단,도서관플러스팀,과장,김민주,02-828-5825,
27,01. 서울,관악구,제 5회 그루브 인 관악,01. 문화예술,관악아트홀,04. 독립형,01. 서울,관악구,신림동,2026,7,11,2026,7,12,2,,01. 매년,2022,100,0,100,0,해당없음,"15,061","15,061",모름,99. 무응답,기타,관악문화재단,02. 재단(관광/문화/예술),관악문화재단 설립에 관한 조례,관악문화재단,축제기획팀,대리,경민지,02-828-5764,
28,01. 서울,관악구,제 10회 관악강감찬축제,04. 전통역사,낙성대공원 일대,02. 녹지형,01. 서울,관악구,봉천동,2026,10,16,2026,10,18,3,,01. 매년,2016,457,0,457,0,해당없음,"208,406","208,406",모름,99. 무응답,기타,관악문화재단,02. 재단(관광/문화/예술),관악문화재단 설립에 관한 조례,관악문화재단,축제기획팀,대리,이인희,02-828-5763,
29,01. 서울,영등포구,2026 영등포 여의도 봄꽃축제,01. 문화예술,"여의서로 벚꽃길, 한강공원 국회축구장 등",02. 녹지형,01. 서울,영등포구,여의동,2026,4,8,2026,4,12,5,,01. 매년,2005,758,0,758,0,해당없음,"3,030,000","3,030,000",모름,01. 계측,유인,영등포구/영등포문화재단,02. 재단(관광/문화/예술),,영등포구청,문화예술과,주무관,권수림,02-2670-3128,
30,01. 서울,영등포구,제3회 영등포 정원축제(정원소풍),02. 자연생태,영등포공원,02. 녹지형,01. 서울,영등포구,영등포본동,2026,5,23,2026,5,25,3,,01. 매년,2024,130,0,130,0,해당없음,"2,800","2,800",모름,01. 계측,유인,영등포구,01. 정부/지자체,,영등포구청,정원도시과,주무관,송명섭,02-2670-3717,
31,01. 서울,영등포구,제3회 영등포구 여름축제 대피서,01. 문화예술,영등포공원,02. 녹지형,01. 서울,영등포구,영등포본동,2026,8,7,2026,8,9,3,,01. 매년,2024,79,0,79,0,해당없음,"3,000","3,000",모름,99. 무응답,기타,영등포구,01. 정부/지자체,,영등포구청,문화예술과,주무관,노기남,02-2670-3143,
32,01. 서울,영등포구,제2회 영등포구 원조맥주축제,03. 주민화합,영등포공원,02. 녹지형,01. 서울,영등포구,영등포본동,2026,9,18,2026,9,19,2,,01. 매년,2025,171,0,171,0,해당없음,"22,000","22,000",모름,99. 무응답,기타,영등포구,01. 정부/지자체,,영등포구청,문화예술과,주무관,권수림,02-2670-3128,
33,01. 서울,영등포구,2026 영등포네트워크예술제,01. 문화예술,문래동 일대,05. 기타,01. 서울,영등포구,문래동,2026,9,26,2026,9,28,3,,01. 매년,2019,60,0,60,0,해당없음,"6,682","6,682",모름,01. 계측,유인,영등포문화재단,02. 재단(관광/문화/예술),서울특별시 영등포문화재단 설립 및 운영에 관한 조례,영등포문화재단,문화사업팀,팀장,박정호,02-2629-2215,
34,01. 서울,영등포구,제3회 영등포 선유도원축제,01. 문화예술,선유도공원 및 선유도역 2번 3번출구 걷고싶은 거리,02. 녹지형,01. 서울,영등포구,양평2동,2026,10,23,2026,10,25,3,,01. 매년,2024,313,0,313,0,해당없음,"71,352","71,352",모름,01. 계측,유인,영등포구/영등포문화재단,02. 재단(관광/문화/예술),,영등포구청,문화예술과,주무관,이선진현,02-2670-3134,
35,01. 서울,구로구,제4회 주막거리객사전,04. 전통역사,오류동역광장,02. 녹지형,01. 서울,구로구,오류동,2026,4,,2026,4,,2,미정,01. 매년,2023,80,0,80,0,해당없음,"11,500","11,500",모름,99. 무응답,기타,구로문화원,02. 재단(관광/문화/예술),지방문화원진흥법 등,구로구청,문화관광과,주무관,박영경,02-860-3414,
36,01. 서울,구로구,제10회 프랑스문화축제,01. 문화예술,안양천 생태초화원,03. 수변형,01. 서울,구로구,신도림동,2026,9,,2026,9,,2,미정,02. 격년,2005,62,0,62,0,해당없음,"15,000","15,000",모름,99. 무응답,기타,구로구청,01. 정부/지자체,지방자치법 등,구로구청,문화관광과,주무관,박영경,02-860-3414,
37,01. 서울,구로구,구로G페스티벌,03. 주민화합,안양천 오금교 일대,03. 수변형,01. 서울,구로구,신도림동,2026,9,,2026,9,,2,미정,01. 매년,2003,800,0,800,0,해당없음,"170,000","170,000",모름,99. 무응답,기타,구로구청,01. 정부/지자체,지방자치법 등,구로구청,문화관광과,주무관,전현아,02-860-2282,
38,01. 서울,서초구,2026 서리풀뮤직페스티벌,01. 문화예술,반포대로(서초3동사거리~서초역),05. 기타,01. 서울,서초구,서초동,2026,9,14,2026,9,20,7,,01. 매년,2015,"1,650",0,"1,000",650,해당없음,"250,000","245,000","5,000",99. 무응답,기타,서초문화재단,02. 재단(관광/문화/예술),서울특별시 서초구 문화재단 설립 및 운영에 관한 조례,서초구청,문화관광과,주무관,김훈,02-2155-6229,
